id_no,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
1,325,5.05,385,0,4463.92,599.974,21.56055775,15.77040578,28.37342738,0.18926984
2,325,5.05,385,0,4463.92,599.974,21.56055775,15.77040578,28.37342738,0.18926984
3,325,4.76,385,0,4463.92,599.974,21.56055775,15.77040578,28.37342738,0.18926984
4,325,4.95,385,0,4463.92,599.974,21.56055775,15.77040578,28.37342738,0.18926984
5,325,4.86,385,0,4463.92,599.974,21.56055775,15.77040578,28.37342738,0.18926984
6,226,2.4,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
7,226,2.37,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
8,226,2.4,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
9,226,2.29,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
10,226,2.29,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
11,226,2.33,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
12,226,2.32,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
13,226,2.32,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
14,226,2.27,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374
15,316,3.33,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
16,316,3.05,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
17,316,3.17,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
18,316,3.25,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
19,316,3.19,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
20,316,3.18,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
21,316,3.15,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
22,316,3.14,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
23,316,3.06,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
24,316,3.15,264,0,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048
25,341,5.92,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
26,341,5.89,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
27,341,6.03,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
28,341,6.02,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
29,341,5.95,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
30,341,5.81,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
31,341,5.8,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
32,341,5.9,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
33,341,5.97,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
34,341,5.87,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826
