Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
1.3625,7.559521576,17.82517758,7462.16,552381.9,1
1.5375,6.321121858,16.83639833,13854.04,1009929.62,1
1.8,6.75995795,17.43642866,3764.83,561106.56,1
1.24,5.878225728,16.98489598,9814.53,1054700.52,1
1.28,6.157555595,17.26102938,6155.62,574282.91,1
1.8925,6.187422395,16.88033993,7295.27,1033772.8,2
0.88,5.737020044,16.80787465,15084.74,1518744.53,0
1.3,6.311121591,17.47864869,10412.91,1014862.7,1
1.5725,6.370193848,17.09312158,11656.76,1459165.91,1
1.59,5.100950051,16.46056339,4568.04,400766.84,1
1.5175,5.802267157,16.93077821,14628.16,1460504.53,1
1.3925,5.102771423,16.33978869,9017.89,862596.21,1
1.483333333,7.631668716,18.54967871,3987.74,472589.24,1
0.96,4.653135701,15.9083739,14114.51,1336530.16,0
1.7475,5.629400165,16.47683219,8680.07,1050136.45,1
1.9575,5.192371769,16.50172766,5808.88,589761.04,2
1.0025,4.53262597,15.64750939,19155.24,1797484.03,0
2.095,4.912334354,15.62773688,5937.53,730254.8,2
1.5725,4.486608544,15.63235301,9474.32,1035973.52,1
1.6125,5.581296144,16.41153186,6019.92,551811.07,1
1.655,4.996722992,16.31535499,13338.04,1507249.94,1
1.5875,5.785459817,16.82340756,10550.42,1002933.81,1
1.29,5.425278628,16.13457917,2853.19,385212.42,1
0.973333333,6.261585939,17.29944367,12412.92,1102644.03,0
2.44,6.249935852,16.8773296,5647.4,607928.73,2
1.9475,7.373615861,18.75857514,5123.35,562083.37,2
1.22,6.093149067,16.63229324,12015.63,1265589.62,1
1.65,6.215992189,17.51338328,9498.47,1010813,1
1.89,6.510008485,17.47234303,7694.28,571027.82,2
