,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,annual,Georgia,Athens,10/10/2007,Attention II,8/14/2009,290,3.96,700,409,4303.75,1121.28,18.35404444,15.91301435254432,27.93312452,0.14300356902790873
1,annual,Georgia,Tifton,2/21/2008,CW 36106,12/7/2009,238,4.29,264,310,3207.71,1010.001,20.82889859,12.54377222,28.79083892,0.14931105350927135
2,annual,Georgia,Athens,11/1/2007,CW 36106,8/14/2009,301,2.27,597,395,3980.12,515.554,20.17295006,15.5106290120372,27.85270799,0.15094914439932758
3,annual,Georgia,Athens,11/1/2007,GA-505,12/5/2008,333,2.89,444,0,3815.82,678.506,21.55743929,15.809604430814694,28.66007314,0.1448634662444503
4,annual,Georgia,Athens,2/21/2008,Evermore,11/1/2010,285,3.89,264,0,3776.14,413.282,21.20660182,15.003768997503817,26.44635228,0.116674048
5,annual,Georgia,Athens,10/10/2007,BaraWet 501,11/20/2008,341,3.8,277,409,4121.68,715.204,23.32767857,18.43894762,29.26207143,0.14812973236962648
6,annual,Georgia,Tifton,10/10/2007,TS 8031,12/7/2009,275,4.32,1118,336,3624.58,413.282,21.34299819,15.84422098737513,27.29218641,0.12959800776107497
7,annual,Georgia,Athens,10/10/2007,GA-505,10/22/2009,317,5.83,550,307,3938.34,611.876,20.91962778,17.608254012902442,24.63693333,0.18051193767140744
8,annual,Georgia,Tifton,10/10/2007,GA-505,12/5/2008,274,4.01,907,123,4190.66,1230.187,20.83089414,16.68277830585705,29.24586661,0.148377206604756
9,annual,Georgia,Athens,11/1/2007,Hybri Force 600,12/5/2008,267,2.27,660,389,3787.59,589.137,18.35404444,15.6548580910673,28.55981051,0.12559037860077987
10,annual,Georgia,Midville,11/1/2007,CW 36106,12/7/2009,266,5.94,646,0,3278.3,818.419,18.35404444,13.871043503140378,27.33933123,0.19128837399999998
11,annual,Georgia,Athens,10/10/2007,Bara 503,11/11/2008,299,5.08,1093,37,4291.49,413.282,20.52074581,15.646942545856211,27.23262992,0.116674048
12,annual,Georgia,Tifton,2/21/2008,Bulldog 805,8/14/2009,279,4.13,570,409,3510.43,1001.755,21.045828,18.43894762,27.89456491,0.13693739737123226
13,annual,Georgia,Athens,10/10/2007,Bara 503,11/20/2008,303,5.68,264,0,3391.36,952.333,20.68688785,16.97078231078302,28.15668487,0.116674048
14,annual,Georgia,Athens,10/10/2007,Bara 503,12/7/2009,295,5.54,555,117,5320.75,413.282,21.95674436,18.254619350946236,25.67911695,0.19128837399999998
15,annual,Georgia,Midville,10/10/2007,Hybri Force 700,11/11/2008,307,6.04,273,409,4370.38,827.575,18.35404444,15.434365718386678,28.15217421,0.16336726191585021
16,annual,Georgia,Athens,11/1/2007,CW 500,8/14/2009,341,5.28,647,40,4982.69,413.282,21.10865483,13.946620815445742,28.05324227,0.1325001109190232
17,annual,Georgia,Athens,11/1/2007,BaraWet 501,11/11/2008,341,5.54,1041,329,3510.91,814.499,19.82212365,15.949777158183727,27.09252559,0.12428042091546088
18,annual,Georgia,Tifton,10/10/2007,Bulldog 805,12/5/2008,279,6.83,446,52,3414.08,778.838,21.34379523,18.43894762,26.98197664,0.1530946812224215
19,annual,Georgia,Midville,11/1/2007,Bulldog 805,12/5/2008,305,4.76,864,6,3511.28,715.87,20.66467864,18.336994672087535,27.14094042,0.14107419770942647
20,annual,Georgia,Midville,10/10/2007,GA-505,10/22/2009,291,5.64,867,202,4440.58,413.282,23.32767857,16.07502657043879,26.01039709,0.14288056774226457
21,annual,Georgia,Midville,10/10/2007,CW 500,8/14/2009,290,4.47,782,181,3580.86,958.474,20.39399701,15.06354075418245,27.10329094,0.116674048
22,annual,Georgia,Athens,2/21/2008,GA-505,12/5/2008,317,4.57,319,0,3421.19,991.407,22.19803335,16.92513676068126,26.96533745,0.15246395702392374
23,annual,Georgia,Athens,10/10/2007,GA-505,11/11/2008,279,4.84,395,114,4500.43,413.282,21.48031593,18.43894762,27.17514412,0.1379727835189484
24,annual,Georgia,Midville,2/21/2008,CW 500,11/1/2010,341,5.78,500,0,4281.83,1270.879,21.84984299,16.799690767445856,26.7824308,0.15809359514228224
25,annual,Georgia,Midville,2/21/2008,Hybri Force 700,11/1/2010,271,4.38,576,392,3943.17,457.591,20.6913272,16.375679800534662,27.39969485,0.14815255928851218
26,annual,Georgia,Midville,10/10/2007,Evermore,12/7/2009,292,5.07,751,47,3730.24,733.639,20.60703214,13.177683622309598,27.30308265,0.13630545957844065
27,annual,Georgia,Midville,10/10/2007,GA-505,10/22/2009,341,4.94,394,236,5050.08,1127.733,20.54531453,12.550855306867497,28.86452997,0.19128837399999998
28,annual,Georgia,Midville,2/21/2008,BaraWet 501,8/14/2009,226,4.85,1092,298,4350.88,468.446,21.45860139,15.663672872617104,26.40563327,0.116674048
29,annual,Georgia,Athens,10/10/2007,TS 4010,11/20/2008,303,3.93,1118,0,3412.08,1323.896,20.20695423,16.25002743561704,28.38648509,0.14458632068558622
30,annual,Georgia,Midville,11/1/2007,GA-505,12/7/2009,298,4.63,1118,95,3835.85,656.41,21.08412858,15.976132173259144,26.8020212,0.14570464949593048
31,annual,Georgia,Athens,10/10/2007,Bara 503,11/11/2008,341,3.83,1023,359,5320.75,863.364,20.65215432,16.480361892773505,27.28318022,0.19128837399999998
32,annual,Georgia,Tifton,10/10/2007,Bulldog 805,11/11/2008,341,4.61,684,254,3902.01,413.282,21.33599348,17.550508333320895,27.13373591,0.14778002922267822
33,annual,Georgia,Athens,10/10/2007,BaraWet 501,8/14/2009,313,4.58,559,0,4879.07,413.282,18.35404444,16.640169704768496,27.88752725,0.1441795018533836
34,annual,Georgia,Tifton,11/1/2007,TS 8031,12/5/2008,329,2.27,430,0,4254.63,569.864,21.4140976,15.318365708147356,28.52496343,0.1423314235546901
35,annual,Georgia,Tifton,11/1/2007,PGI 909,12/5/2008,257,5.91,615,293,4552.03,749.208,18.35404444,18.43894762,28.18767544,0.15813422997230486
36,annual,Georgia,Midville,11/1/2007,GA-505,11/11/2008,341,5.23,264,11,5320.75,413.282,19.71864373,16.22217162932001,27.11782442,0.12219264161438351
37,annual,Georgia,Athens,10/10/2007,GA-505,11/11/2008,285,4.68,309,346,4526.23,946.611,20.89821875,15.723118033557817,27.45356807,0.13329129583757718
38,annual,Georgia,Athens,11/1/2007,Phoenix,12/5/2008,280,5.51,264,0,3304.57,791.345,21.34696606,14.3413814779421,28.75691343,0.19128837399999998
39,annual,Georgia,Midville,11/1/2007,Bulldog 805,11/20/2008,329,4.9,1118,0,3600.31,634.791,18.35404444,16.873983752238487,24.80221037,0.11877240808261683
40,annual,Georgia,Athens,11/1/2007,Hybri Force 700,8/14/2009,300,2.27,264,77,4921.63,729.307,20.47009674,16.259135697111077,27.66311511,0.1460026886768125
41,annual,Georgia,Athens,11/1/2007,Attention II,11/1/2010,299,6.01,966,244,3894.97,461.654,18.35404444,16.426217982653203,24.63693333,0.1173850751402066
42,annual,Georgia,Tifton,2/21/2008,CW 500,11/11/2008,275,4.14,1118,189,2982.28,714.659,22.376281,15.888999846180239,24.63693333,0.116674048
43,annual,Georgia,Midville,11/1/2007,Bulldog 805,10/22/2009,235,3.98,502,398,4292.87,695.912,20.94335408,18.43894762,25.08244053,0.13756084500962618
44,annual,Georgia,Tifton,11/1/2007,Evermore,11/11/2008,314,2.27,467,59,3596.92,1142.344,20.46175496,16.5173422125654,26.56193731,0.116674048
45,annual,Georgia,Athens,2/21/2008,BaraWet 501,11/11/2008,317,6.2,711,337,4966.86,986.912,22.61934362,16.589546404847642,26.40225647,0.16282644158354703
46,annual,Georgia,Tifton,10/10/2007,Hybri Force 600,8/14/2009,309,5.68,812,0,3935.32,559.543,20.39009893,15.898539514163414,27.19556519,0.19128837399999998
47,annual,Georgia,Athens,11/1/2007,Hybri Force 700,11/11/2008,226,5.67,284,0,5320.75,413.282,20.31245722,16.16763479835142,27.63428765,0.143892688697812
48,annual,Georgia,Athens,11/1/2007,GA-505,12/5/2008,288,3.9,264,297,2901.72,582.063,18.35404444,16.569309955150665,26.04864114,0.15405609039954293
49,annual,Georgia,Tifton,2/21/2008,Bulldog 805,12/5/2008,275,5.77,684,407,4235.58,863.992,22.36016759,17.16634247257809,27.29970791,0.1206238079143639
50,annual,Georgia,Athens,11/1/2007,Evermore,11/1/2010,282,5.44,1022,61,5273.86,1019.311,20.02252133,13.593538217743237,27.03464338,0.1247794161831911
51,annual,Georgia,Tifton,10/10/2007,Attention II,12/5/2008,289,5.84,1007,378,4449.46,1031.491,21.48333104,16.076086972452377,27.65134667,0.13755543333571268
52,annual,Georgia,Tifton,10/10/2007,Bulldog 805,11/20/2008,307,5.57,896,0,3476.96,860.033,20.63071943,16.056708677647574,24.63693333,0.1352594881298076
53,annual,Georgia,Tifton,2/21/2008,TS 8031,8/14/2009,267,6.13,723,0,2993.96,732.989,21.2752239,15.73257232723614,27.07693064,0.116674048
54,annual,Georgia,Athens,10/10/2007,Hybri Force 600,12/7/2009,293,2.27,795,0,3402.38,1174.939,20.03679298,15.773745704281923,24.63693333,0.1175730165128127
55,annual,Georgia,Athens,11/1/2007,BaraWet 501,12/5/2008,290,5.63,1118,24,3035.93,603.884,21.22704062,16.120976925071854,25.9431992,0.11993422383642961
56,annual,Georgia,Tifton,10/10/2007,BaraWet 501,11/20/2008,330,5.51,1118,351,4112.47,731.875,20.41534454,18.43894762,27.55963581,0.146482215266879
57,annual,Georgia,Athens,10/10/2007,TS 4010,11/20/2008,276,4.54,706,40,4922.96,779.303,20.93296726,16.68558046270679,26.71244721,0.18444832030115757
58,annual,Georgia,Tifton,2/21/2008,Hybri Force 700,11/11/2008,318,5.42,962,409,3457.29,981.6,21.22063054,16.933083824924257,27.42615987,0.15446974473764452
59,annual,Georgia,Tifton,11/1/2007,Evermore,12/5/2008,226,2.35,283,96,3690.07,515.88,19.80625435,18.43894762,28.44308593,0.13728547034179403
60,annual,Georgia,Tifton,10/10/2007,TS 4010,12/7/2009,279,6.83,584,72,3378.69,413.282,20.07065523,18.43894762,27.25895047,0.1229960126715154
61,annual,Georgia,Athens,11/1/2007,GA-505,11/20/2008,305,5.07,1008,67,3113.2,453.809,20.62286321,16.774872905237526,29.26207143,0.19128837399999998
62,annual,Georgia,Midville,11/1/2007,CW 35106,11/1/2010,288,6.24,1118,0,4017.42,938.254,18.35404444,16.378759616252076,25.93356805,0.12186611022062992
63,annual,Georgia,Tifton,10/10/2007,TS 8031,8/14/2009,285,2.27,264,0,3745.76,491.825,21.86954989,16.719879489644995,28.2828515,0.12147741409991727
64,annual,Georgia,Tifton,10/10/2007,TS 4010,12/7/2009,289,5.31,357,211,3237.34,1045.872,18.35404444,16.929109718237072,26.85419169,0.116674048
65,annual,Georgia,Midville,10/10/2007,CW 500,11/1/2010,341,4.1,585,204,3559.43,794.776,20.33961861,16.22416323814868,27.24362363,0.14219385802515092
66,annual,Georgia,Tifton,2/21/2008,PGI 801,12/5/2008,291,4.9,471,0,4989.62,572.808,20.97268289,17.17618921514003,25.1376495,0.13162196795175118
67,annual,Georgia,Athens,10/10/2007,Phoenix,12/7/2009,295,6.82,545,328,5191.78,684.549,18.35404444,16.73096745824993,27.31802666,0.1260861574543023
68,annual,Georgia,Athens,2/21/2008,Bulldog 805,11/1/2010,341,5.39,454,409,3433.75,413.282,20.65463959,15.246598021624713,27.34531586,0.14562507842294917
69,annual,Georgia,Athens,10/10/2007,Bara 503,11/20/2008,226,4.62,891,381,2965.7,413.282,20.06873017,13.285854733792275,28.68309154,0.1299979805198756
70,annual,Georgia,Tifton,2/21/2008,Attention II,12/7/2009,319,6.3,1118,381,3733.51,755.916,21.5665461,18.43894762,27.53256903,0.14113192186038087
71,annual,Georgia,Athens,10/10/2007,PGI 801,11/11/2008,278,2.27,423,315,4414.2,1217.225,18.35404444,16.892239920258884,29.08063616,0.12491789774838657
72,annual,Georgia,Tifton,2/21/2008,Attention II,12/7/2009,304,2.27,1061,0,3894.29,523.601,21.24979061,15.224472235791136,26.72946459,0.15461371639874955
73,annual,Georgia,Tifton,10/10/2007,TS 4010,12/5/2008,322,4.14,704,391,5253.23,434.563,21.05726542,15.691233187989997,27.73983345,0.15293357685800388
74,annual,Georgia,Athens,11/1/2007,Bulldog 805,11/1/2010,293,5.11,781,0,2901.72,766.118,19.70815568,16.366548310170757,25.83224624,0.12436636308039278
